,diravg,dirmax,dmgarea,dmgmoney,exintgtm,extingdt,humidcurr,humidmin,humidrel,ocurcause,ocurdo,ocurdt,ocuremd,ocurgm,ocurjibun,ocurri,ocursgg,ocuryoil,ownersec,rainamount,raindays,riskavg,riskmax,tempavg,windavg,windmax
5064,NNE, ,0.5,400,150,200105021450,0.0,0.0,48.0,담뱃불실화추정,충북,200105021300,생극,중부,산70-1,신양,음성,수,국,0.5,1,0.0,0.0,18.8,1.4,0.0
5065,SE, ,0.01,0,15,200104301613,0.0,0.0,24.0,담뱃불실화추정,서울,200104301558,개화,서울,산64, ,강서,월,사,4.3,16,0.0,0.0,24.6,2.8,0.0
5066,E, ,0.01,0,20,200104301410,0.0,0.0,27.0,어린이불장난추정,서울,200104301350,봉천,서울,산41-1, ,관악,월,사,4.3,16,0.0,0.0,25.9,2.4,0.0
5067,NE, ,0.1,4324,40,200104301240,0.0,0.0,28.0,쓰레기소각추정,충북,200104301200,동량,중부,산64-7,하천,충주,월,국,0.5,1,0.0,0.0,23.7,4.0,0.0
5068,NE, ,0.15,0,107,200104300356,0.0,0.0,60.0,입산자실화추정,서울,200104300249,등촌,서울,산24-2, ,강서,월,사,4.3,16,0.0,0.0,17.9,3.1,0.0
5069,NE, ,0.2,0,353,200104300630,0.0,0.0,56.0,무속행위추정,강원,200104300237,서,강원,산86,덕두원,춘천,월,사,4.6,17,0.0,0.0,16.7,1.3,0.0
5070,E, ,0.03,0,30,200104292350,0.0,0.0,48.0,방화추정,충남,200104292320,해미,충남,산128-2,대곡,서산,일,사,2.2,15,0.0,0.0,18.4,3.5,0.0
5071,SSE, ,0.03,80,20,200104291930,0.0,0.0,67.0,입산자실화추정,충남,200104291910,계룡,충남,산18,중장,공주,일,사,2.7,15,0.0,0.0,17.1,4.6,0.0
5072,E, ,0.9,2427,235,200104291535,0.0,0.0,36.0,입산자실화추정,경기,200104291300,오남,경기,산84,팔현,남양주,일,사,4.3,15,0.0,0.0,25.9,2.5,0.0
5073,N, ,0.1,0,334,200104290920,0.0,0.0,58.0,입산자실화추정,강원,200104290546,양구,강원,산219-1,상무룡,양구,일,사,4.5,15,0.0,0.0,10.5,1.1,0.0
5074,SW, ,0.1,0,130,200104281610,0.0,0.0,20.0,입산자실화추정,강원,200104281440,간동,강원,산138,오음,화천,토,사,4.6,14,0.0,0.0,22.8,1.6,0.0
5075,E, ,0.01,0,9,200104281244,0.0,0.0,35.0,어린이불장난추정,서울,200104281235,부암,서울,산26, ,종로,토,사,4.3,14,0.0,0.0,19.5,1.0,0.0
5076,S, ,0.7,1888,200,200104281340,0.0,0.0,41.0,입산자실화추정,전북,200104281140,운봉,전북,산46-2,행정,남원,토,사,3.0,14,0.0,0.0,23.1,2.5,0.0
5077,NE, ,0.5,1000,50,200104281110,0.0,0.0,45.0,입산자실화추정,광주,200104281020,이장,광주,산9, ,남,토,사,4.4,14,0.0,0.0,19.2,1.9,0.0
5078,정온, ,0.1,0,120,200104280440,0.0,0.0,50.0,입산자실화추정,인천,200104280320,삼산,인천,산244,석모,강화,토,사,4.0,15,0.0,0.0,8.5,0.1,0.0
5079,W, ,0.01,0,30,200104272035,0.0,0.0,26.0,담뱃불실화추정,서울,200104272005,시흥,서울,산27-3, ,금천,금,사,4.3,13,0.0,0.0,18.0,3.0,0.0
5080,WNW, ,0.13,0,41,200104271853,0.0,0.0,22.0,담뱃불실화추정,서울,200104271812,불광,서울,산42-1, ,은평,금,사,4.3,13,0.0,0.0,20.6,2.8,0.0
5081,WSW, ,0.03,81,50,200104271840,0.0,0.0,31.0,입산자실화추정,전북,200104271750,아산,전북,산99-1,삼인,고창,금,사,3.0,13,0.0,0.0,17.8,2.0,0.0
5082,SSW, ,0.5,1215,123,200104271830,0.0,0.0,39.0,입산자실화추정,부산,200104271707,일광,부산,산28-3,삼성,기장,금,사,2.6,11,0.0,0.0,18.8,5.0,0.0
5083,NNW, ,0.02,0,30,200104271730,0.0,0.0,13.0,휴경지소각추정,대전,200104271700,이사,대전,산9, ,동,금,사,2.7,13,0.0,0.0,24.0,3.5,0.0
5084,WSW, ,0.2,539,100,200104271745,0.0,0.0,15.0,입산자실화추정,경북,200104271645,초전,경북,산67,용봉,성주,금,사,8.5,16,0.0,0.0,24.8,3.2,0.0
5085,NNW, ,0.1,162,35,200104271720,0.0,0.0,21.0,입산자실화추정,경남,200104271645,삼호,경남,산67, ,양산,금,사,0.5,13,0.0,0.0,22.0,4.0,0.0
5086,SW, ,1.0,2697,115,200104271730,0.0,0.0,17.0,입산자실화추정,전북,200104271615,운봉,전북,산41-2,주촌,남원,금,사,3.0,13,0.0,0.0,24.5,3.0,0.0
5087,SSW, ,1.9,4800,153,200104271720,0.0,0.0,12.0,입산자실화추정,대전,200104271527,방,대전,산109-1, ,유성,금,사,2.7,13,0.0,0.0,24.2,2.1,0.0
5088,WSW, ,2.5,6500,1535,200104280700,0.0,0.0,20.0,입산자실화추정,전남,200104271525,광의,전남,산155-2,온당,구례,금,사,6.0,13,0.0,0.0,22.6,3.3,0.0
5089,N, ,3.0,8091,330,200104271820,0.0,0.0,18.0,산채채취자추정,충북,200104271450,살미,충북,산33,세성,충주,금,사,1.0,13,0.0,0.0,24.1,1.3,0.0
5090,SSW, ,0.17,459,123,200104271607,0.0,0.0,29.0,입산자실화추정,부산,200104271444,일광,부산,산36-3,삼성,기장,금,사,2.6,11,0.0,0.0,21.0,4.8,0.0
5091,SSW, ,5.0,13400,1605,200104280640,0.0,0.0,17.0,담뱃불실화추정,충남,200104271435,홍산,충남,산71-1,상천,부여,금,사,4.0,13,0.0,0.0,25.0,1.7,0.0
5092,SW, ,0.1,280,40,200104271505,0.0,0.0,12.0,입산자실화추정,충북,200104271425,남일,충북,산5,송암,청원,금,사,1.9,12,0.0,0.0,24.1,1.5,0.0
