,juso,경도,위도
90,강원도 횡성군 강림면 주천강로 1313,128.131506017,37.374880918
91,강원도 홍천군 서석면 구룡령로 2096-9,128.147482326,37.719466066
92,경기도 용인시 처인구 양지면 중부대로 2582-16,127.321973874,37.245147403
93,인천광역시 옹진군 북도면 신도로507번길 63,126.461694907,37.536046376
94,충청남도 금산군 추부면 금산로 2455,127.471967148,36.183201090
95,전라남도 나주시 가야길 177 (운곡동),126.688303510,34.996568236
96,경기도 파주시 적성면 가월로 40,126.909114114,37.964316103
97,경상북도 상주시 공성면 거배미길 42-22,128.075080683,36.275725264
98,경기도 가평군 조종면 연인산로 586,127.383817816,37.854481244
99,전라남도 신안군 압해읍 마산길 1-39,126.251884099,34.949877452
100,충청남도 태안군 소원면 소근로 13,126.195759176,36.760688376
101,충청남도 보령시 통나무마을2길 69 (신흑동),126.523708021,36.327137773
102,충청북도 보은군 내북면 성암길 32,127.674124575,36.582458597
103,전라북도 남원시 산내면 부운길 15,127.586293186,35.383121385
104,강원도 춘천시 신동면 경춘로 1960-61,,
105,경상남도 산청군 단성면 구인동길 7-3,127.961801110,35.305721573
106,전라남도 보성군 겸백면 사곡길 74,127.167870987,34.813148192
107,경기도 가평군 청평면 경춘로 749-56,127.409235437,37.735456247
108,인천광역시 옹진군 북도면 신도로507번길 63,126.461694907,37.536046376
109,경기도 포천시 일동면 수입로291번길 47,127.311708921,37.989389733
110,전라북도 진안군 부귀면 모래재로 1003-6,127.337798799,35.801362300
111,경기도 남양주시 수동면 철마산로200번길 50-22,127.269858357,37.725764470
112,충청남도 당진시 면천면 옥수로 119-50,126.688989166,36.790882815
113,강원도 홍천군 화촌면 서울양양고속도로 83,128.006513814,37.758983591
114,경기도 안산시 상록구 성호로 170 (일동),,
115,경기도 가평군 조종면 명지산로 537,127.385619339,37.914675290
116,전라남도 해남군 산이면 산이로 1335-29,126.434710138,34.649214499
117,강원도 원주시 호저면 평천1길 24-23,127.923745057,37.424131310
118,강원도 고성군 현내면 한나루로 88-1,128.426972225,38.496184839
119,전라북도 남원시 산동면 요천로 2381-96,127.431775387,35.470831272
120,강원도 영월군 남면 원골길 24,128.392463708,37.185429346
121,경기도 가평군 북면 가화로 2628,127.460613569,37.968499485
122,충청남도 금산군 군북면 돌안말길 86-1,127.572106382,36.221687855
123,경기도 구리시 아치울길22번길 34-30 (아천동),127.122218097,37.576944972
124,경기도 포천시 내촌면 소리개길 97,127.237791822,37.781230073
125,강원도 홍천군 서석면 풍암길 15-3,128.185879519,37.714223281
126,충청남도 금산군 추부면 금산로 2455,127.471967148,36.183201090
127,충청남도 천안시 동남구 광덕면 쇳골길 182-84,127.085912694,36.717492004
128,인천광역시 강화군 불은면 중앙로 546-34,126.453483341,37.716150545
129,강원도 춘천시 남산면 동촌로 667,127.657152936,37.774444417
130,경상북도 칠곡군 지천면 가정2길 8-1,128.516774867,35.922865700
131,경기도 수원시 장안구 송정로 84 (정자동),127.006424816,37.295568237
132,경상남도 거창군 남상면 월행로 224-120,127.978655230,35.618689055
133,인천광역시 옹진군 영흥면 선재로306번길 31-127,126.521979548,37.257621077
134,인천광역시 남동구 만의골로 228 (장수동),,
135,충청북도 보은군 보은읍 금굴1길 32,127.730003711,36.451724401
136,전라북도 무주군 설천면 구천동로 873,127.779103673,35.907618475
137,경기도 가평군 설악면 한서로 154,127.507127503,37.669648256
138,경상북도 경주시 강동면 단구안계길 371-43,129.253282211,36.024078168
139,전라남도 무안군 삼향읍 영산로 1392-23,126.430274448,34.884202535
140,경상북도 칠곡군 왜관읍 공단로11길 57,128.412003987,35.954726584
141,경상북도 영주시 이산면 한성로 118,128.656527721,36.828969235
142,경상북도 영천시 고경면 상계로 360,129.110018665,36.020115733
143,"부산광역시 강서구 신호산단1로 101 (신호동, 부산신호사랑으로부영5차)",128.874954666,35.081777763
144,경기도 평택시 왕뒤길 65-43 (도일동),127.098218606,37.057945392
145,인천광역시 남동구 만의골로 228 (장수동),,
146,경상북도 안동시 범석골길 42-16 (안막동),128.730430356,36.575064308
147,충청남도 천안시 동남구 동면 구도2길 89-39,127.351366948,36.760082120
148,,,
149,충청남도 청양군 남양면 만수로 1217-15,126.748235621,36.375369024
150,경상북도 청도군 운문면 운문로 1064-7,129.003338385,35.667210587
151,충청남도 부여군 충화면 팔충로 402-6,126.782863039,36.189884213
152,경상남도 양산시 매곡1길 110 (매곡동),129.182333369,35.374360071
153,경기도 안산시 상록구 오리물길 2 (양상동),126.853361669,37.343453902
154,경상북도 예천군 은풍면 도효자로 886-10,128.442176866,36.734261144
155,충청북도 단양군 매포읍 고양3길 1-2,128.275722414,37.076769805
156,충청북도 청주시 청원구 주중로165번길 231-1 (주중동),127.486986734,36.690329910
157,강원도 홍천군 북방면 도사곡길 48,127.843258100,37.708871197
158,인천광역시 강화군 불은면 중앙로 546-34,126.453483341,37.716150545
159,강원도 양구군 국토정중앙면 관대두무로 1383,128.070809867,38.061354192
160,경상북도 상주시 낙동면 수선로 754-3,128.201159957,36.322121412
161,강원도 원주시 우무개로 164 (우산동),127.926447348,37.366828253
162,경상북도 봉화군 재산면 금당골길 55-61,129.047964269,36.818784975
163,경기도 수원시 장안구 송정로 84 (정자동),127.006424816,37.295568237
164,전라남도 강진군 도암면 기전로 337,126.756301026,34.530541330
165,경상남도 거제시 하청면 칠천로 749,128.638832960,35.003426270
166,강원도 철원군 갈말읍 갈말로 53-1,127.300475429,38.159565032
167,전라남도 진도군 지산면 봉암로 63-1,126.132367339,34.426417575
168,부산광역시 북구 백양대로 1073 (구포동),128.997753155,35.201040289
169,전라남도 순천시 해룡면 대가길 69,127.537520362,34.925971421
170,경상남도 산청군 차황면 정수산길 21,127.950121091,35.441049987
171,경기도 양평군 용문면 요곡길 1-14,127.597233994,37.489267198
172,경상북도 성주군 성주읍 대황길 350,128.251356742,35.897682079
173,강원도 영월군 주천면 다래골길 7-16,128.247386894,37.281847233
174,전라남도 무안군 운남면 원동암길 10-37,126.367142893,34.951509275
175,경기도 고양시 덕양구 고양대로 1834-124 (용두동),126.879407982,37.637318067
176,경기도 남양주시 화도읍 경춘로달뫼3길 2-2,127.330022340,37.649328523
177,경기도 화성시 봉담읍 최루백로 434-1,126.981319168,37.199636435
178,충청남도 홍성군 갈산면 수덕사로317번길 329,126.586203525,36.644190836
179,경상북도 안동시 길안면 공수길 9,128.941932569,36.380342210
180,전라남도 진도군 의신면 진도대로 2759-23,126.275049312,34.415293760
