연번,명칭,높이(m),경도(E),위도(N)
140,화부산,68.0,128.8946639,37.7646694
141,월대산,69.3,128.921025,37.7626667
142,불화산,40.4,128.9608667,37.7505639
143,죽도봉,32.9,128.9517417,37.7697278
144,양아산,30.4,128.78605,37.9409194
145,사화산,39.1,128.8507861,37.8397861
146,남산,222.5,126.4741139,37.7383556
147,국수산,193.0,126.361525,37.7086611
148,퇴미산,338.9,126.4269833,37.7107333
149,마니산,472.1,126.4296806,37.6155417
150,길상산,335.8,126.490375,37.6104722
151,구봉산,179.6,126.4440667,37.5256806
152,고려산,436.3,126.4372556,37.743925
153,국사봉,150.3,126.3499417,37.5337444
154,동그랑산,85.7,126.3302639,37.5313056
155,거머지산,52.1,126.3656333,37.5304
156,높은산,76.2,126.4118528,37.5371861
157,당산,97.4,126.40615,37.5331444
158,안산,101.1,126.4663611,37.5351194
159,왕봉산,136.2,126.4602639,37.5398861
160,적대봉,587.4,127.1797667,34.4635889
161,용두봉,418.6,127.1397972,34.4487611
162,망산,234.6,127.0526361,34.3476333
163,오봉산,175.5,127.0417556,34.4313056
164,음달산,233.5,127.2871167,34.0439889
165,망향산,241.3,127.3198194,34.0426028
166,수월산,194.1,127.32075,34.0114917
167,회양봉,106.8,127.3143611,34.0276556
168,불탄봉,189.5,127.2983444,34.0247222
169,전수월산,169.7,127.310225,34.0146889
170,화전산,164.2,128.6139917,34.9767722
171,옥녀봉,232.7,128.6362028,34.9858944
172,제석산,267.5,128.6743556,34.9769472
173,신봉산,142.2,128.6931056,34.9850139
174,망봉산,83.8,128.7050083,34.9983778
175,옥녀봉,333.4,128.5241944,34.9665333
176,천마산,151.3,128.6022611,34.9621972
177,용등산,231.4,128.6635528,34.9651667
178,대금산,438.7,128.6999778,34.9515917
179,상금산,285.5,128.6966194,34.9566639
180,율천산,232.9,128.6812306,34.9668111
181,중봉산,281.5,128.6983917,34.9617583
182,증봉,356.7,128.7078528,34.9503
183,열녀등,47.3,128.5885111,34.9442611
184,솔병산,437.4,128.611825,34.9473444
185,앵산,513.0,128.6139472,34.9405889
186,남여산,287.5,128.6627611,34.9256111
187,망월산,226.4,128.7234222,34.9458083
188,망치산,361.9,128.5322639,34.9078472
189,석름봉,256.5,128.6365167,34.9175194
190,와야봉,315.8,128.6636972,34.9039528
191,삼봉산,249.4,128.6765861,34.9080583
