diravg,humidrel,rainamount,raindays,tempavg,windavg,within_5km,within_10km,within_30km,within_5km_fact,within_10km_fact,within_30km_fact,height,scale_damage
12,36.0,5.5,9,23.7,2.1,0.0,0.0,2.0,0,0,0,602.5,1.0
18,31.0,2.5,9,17.8,1.2,0.0,0.0,2.0,0,0,0,1146.2,1.0
17,38.0,0.5,6,12.3,5.8,0.0,0.0,0.0,0,0,8,235.1,2.0
14,44.0,1.2,8,21.9,1.4,0.0,0.0,2.0,0,0,0,992.7,0.0
24,23.0,10.5,8,25.5,2.5,0.0,2.0,6.0,1,5,17,348.4,1.0
14,62.0,0.5,7,24.0,3.0,0.0,0.0,0.0,0,1,3,608.4,2.0
24,26.0,0.5,7,26.6,2.0,0.0,0.0,4.0,0,0,41,489.4,0.0
5,44.0,1.5,8,24.7,3.8,0.0,1.0,2.0,0,0,0,91.2,0.0
12,22.0,5.7,8,23.4,4.6,0.0,0.0,5.0,7,11,45,79.2,2.0
25,23.0,10.5,8,24.8,1.6,0.0,0.0,2.0,0,0,4,876.3,1.0
25,18.0,5.5,8,25.0,1.7,0.0,1.0,4.0,0,0,6,237.9,0.0
5,55.0,0.5,7,23.8,2.8,1.0,1.0,2.0,0,0,0,146.7,1.0
18,35.0,1.5,7,20.0,1.0,0.0,1.0,4.0,0,17,40,358.9,0.0
21,84.0,5.5,7,21.7,1.8,0.0,0.0,5.0,0,0,1,901.0,2.0
25,17.0,1.2,7,24.2,3.1,1.0,1.0,2.0,1,1,5,203.9,0.0
18,25.0,1.5,6,21.8,3.2,0.0,0.0,1.0,0,1,30,160.4,0.0
25,62.0,1.2,7,25.8,1.6,0.0,0.0,5.0,4,6,62,241.2,1.0
14,25.0,0.5,6,25.3,4.5,1.0,1.0,3.0,0,0,9,299.3,2.0
12,22.0,5.5,7,24.8,2.4,0.0,0.0,5.0,0,0,1,764.0,2.0
25,21.0,4.0,7,23.3,1.5,0.0,0.0,4.0,0,0,1,590.9,2.0
12,28.0,4.5,7,20.5,1.2,0.0,0.0,1.0,0,0,0,728.3,2.0
3,17.0,3.0,7,16.4,1.9,0.0,0.0,11.0,0,1,114,251.3,0.0
3,22.0,0.5,7,8.7,0.7,0.0,1.0,12.0,6,15,327,101.1,2.0
30,46.0,14.9,7,9.9,0.3,0.0,1.0,9.0,0,0,178,342.0,0.0
10,22.0,2.0,5,24.6,2.6,1.0,1.0,9.0,2,4,113,190.5,0.0
25,19.0,2.3,6,24.2,3.9,0.0,0.0,6.0,0,0,9,424.1,0.0
25,23.0,13.1,6,22.5,5.0,0.0,0.0,3.0,0,0,11,794.2,0.0
25,27.0,3.0,6,24.5,3.7,0.0,0.0,4.0,1,2,8,933.5,0.0
24,19.0,2.4,5,21.8,3.2,0.0,0.0,4.0,0,0,36,240.1,0.0
19,21.0,5.7,6,22.4,2.6,0.0,1.0,2.0,1,10,17,213.7,0.0
18,24.0,13.5,6,19.1,3.3,0.0,1.0,2.0,0,2,14,93.5,0.0
24,24.0,10.5,6,23.9,3.1,0.0,0.0,5.0,0,0,15,483.8,0.0
7,21.0,19.7,6,23.0,3.7,0.0,0.0,3.0,0,0,13,1220.0,1.0
19,28.0,1.8,5,23.7,2.7,0.0,0.0,3.0,1,2,49,166.3,0.0
18,72.0,1.0,5,23.5,2.2,0.0,0.0,3.0,0,2,11,164.9,1.0
18,26.0,5.5,6,20.6,1.6,0.0,0.0,6.0,1,2,14,178.2,2.0
21,38.0,0.5,5,15.4,2.8,0.0,1.0,12.0,6,15,327,101.1,2.0
11,42.0,0.5,5,22.0,3.2,0.0,0.0,5.0,0,0,6,585.5,0.0
12,39.0,21.5,5,20.8,2.4,0.0,0.0,4.0,0,0,35,806.4,1.0
10,28.0,2.3,5,21.6,5.8,0.0,1.0,20.0,0,1,172,709.5,0.0
12,39.0,5.7,5,21.9,5.2,0.0,0.0,5.0,4,12,47,117.6,2.0
7,39.0,4.5,5,21.4,1.6,0.0,0.0,2.0,0,0,0,532.0,1.0
21,57.0,5.5,5,21.5,2.3,0.0,0.0,3.0,0,0,5,849.0,2.0
12,23.0,0.5,4,20.7,3.3,0.0,0.0,3.0,2,3,53,55.0,0.0
17,46.0,1.0,5,15.8,2.5,0.0,1.0,3.0,0,0,0,306.4,1.0
15,36.0,3.0,16,16.8,2.0,0.0,0.0,1.0,0,0,0,383.4,0.0
24,36.0,19.7,4,21.2,3.1,1.0,1.0,3.0,0,1,5,479.1,2.0
25,25.0,5.5,4,21.0,4.0,0.0,1.0,4.0,0,0,1,520.5,1.0
21,24.0,5.5,4,19.9,2.0,0.0,0.0,5.0,0,0,4,1252.3,2.0
21,25.0,21.5,3,14.0,1.0,0.0,1.0,9.0,0,0,182,599.5,0.0
