diravg,dirmax,humidcurr,humidmin,humidrel,ocurcause,ocurdo,rainamount,raindays,riskavg,riskmax,tempavg,windavg,windmax,within_5km,within_10km,within_30km,within_5km_fact,within_10km_fact,within_30km_fact,height,scale_damage
NW, ,0.0,0.0,25.0,쓰레기소각,충북,1.0,5,81.2,98.0,7.1,5.2,0.0,0.0,0.0,3.0,0,0,3,665.1,-1.6158916539437918
W, ,0.0,0.0,45.0,입산자실화,서울,1.5,2,42.7,58.0,20.7,3.2,0.0,4.0,11.0,46.0,74,220,726,228.0,-1.5034434747744885
SSE, ,0.0,0.0,43.0,방화추정,경기,1.5,5,44.0,65.0,17.7,2.8,0.0,1.0,3.0,41.0,6,37,590,234.7,1.0300328789264377
ESE, ,0.0,0.0,41.0,입산자실화,경북,9.5,5,81.3,93.0,15.8,2.8,0.0,1.0,1.0,10.0,1,8,53,303.2,1.4670515678798308
W, ,0.0,0.0,31.0,입산자실화,서울,1.5,4,82.8,90.0,12.1,2.8,0.0,2.0,13.0,41.0,65,231,533,335.4,-1.5991537856066573
NE, ,0.0,0.0,32.0,담뱃불실화추정,서울,1.5,4,78.3,93.0,11.0,2.2,0.0,1.0,8.0,42.0,12,185,604,527.4,-1.4946342922437728
SW, ,0.0,0.0,30.0,쓰레기소각,서울,1.5,4,77.7,93.0,11.1,1.6,0.0,3.0,11.0,49.0,23,108,833,159.8,-1.5406899661308966
WNW, ,0.0,0.0,23.0,밭두렁소각,전남,7.5,3,65.1,79.0,20.2,3.4,0.0,0.0,0.0,0.0,0,0,19,331.7,-1.1101805785009058
WNW, ,0.0,0.0,16.0,무속인실화,경남,13.0,4,59.2,79.0,19.2,2.1,0.0,0.0,0.0,9.0,1,4,127,630.9,1.1999031147556454
SW, ,0.0,0.0,31.0,입산자실화,경북,1.0,9,76.3,93.0,10.2,1.5,0.0,1.0,1.0,3.0,5,5,6,325.4,-1.4849959198666942
SW, ,0.0,0.0,31.0,쓰레기소각,경북,1.0,9,76.3,93.0,10.2,1.5,0.0,0.0,0.0,3.0,0,0,8,348.7,-1.0230086122390838
WSW, ,0.0,0.0,23.0,논밭두렁소각,울산,1.5,2,74.6,93.0,10.1,2.0,0.0,1.0,2.0,6.0,2,24,64,40.5,-1.0386590276053778
NNW, ,0.0,0.0,30.0,쓰레기소각,충남,1.0,14,81.7,93.0,8.8,5.6,0.0,0.0,1.0,3.0,1,4,37,114.1,1.348705599127335
N, ,0.0,0.0,36.0,입산자실화,전남,2.5,2,84.8,93.0,8.3,9.2,0.0,0.0,1.0,5.0,0,1,45,169.5,0.4502408721954724
WNW, ,0.0,0.0,30.0,입산자실화,전남,2.5,2,71.0,86.0,9.1,4.4,0.0,0.0,0.0,1.0,3,3,34,281.7,1.2825502993764124
NNW, ,0.0,0.0,22.0,용접작업실화,경남,2.5,2,71.0,86.0,9.1,3.0,0.0,2.0,2.0,16.0,10,19,336,165.1,-1.5066067705844945
N, ,0.0,0.0,20.0,입산자실화,경남,6.0,6,72.1,79.0,9.7,6.9,0.0,0.0,0.0,2.0,0,2,29,222.1,0.18462984642011093
N, ,0.0,0.0,25.0,입산자실화,경남,1.5,12,73.2,86.0,8.6,4.6,0.0,0.0,1.0,5.0,2,6,60,46.0,-1.34646809972939
NW, ,0.0,0.0,28.0,입산자실화,울산,1.5,11,69.6,79.0,4.7,4.3,0.0,1.0,3.0,6.0,9,32,60,142.7,-1.0111776704893927
NNW, ,0.0,0.0,41.0,쓰레기소각,경북,3.0,10,52.3,93.0,4.8,10.7,0.0,0.0,0.0,12.0,0,0,56,168.5,-1.319400903532034
ENE, ,0.0,0.0,61.0,방화,부산,3.5,8,70.5,79.0,10.6,2.5,0.0,2.0,4.0,14.0,75,119,198,152.1,1.0664932295846425
N, ,0.0,0.0,13.0,입산자실화,경기,3.0,21,61.0,95.0,17.0,1.2,0.0,2.0,2.0,29.0,2,6,319,462.3,-1.614140007534325
NW, ,0.0,0.0,23.0,입산자실화,경남,6.0,8,66.4,75.0,10.5,3.4,0.0,0.0,1.0,2.0,0,1,16,712.0,-1.6252685432418066
ESE, ,0.0,0.0,58.0,어린이불장난추정,인천,1.0,22,81.9,95.0,13.1,6.5,0.0,3.0,5.0,35.0,69,230,657,226.0,-1.0355132625104693
W, ,0.0,0.0,18.0,입산자실화,전남,10.5,8,86.3,95.0,14.5,2.9,0.0,0.0,0.0,6.0,0,0,90,413.0,-1.5661646413216097
NNE, ,0.0,0.0,9.0,민통선 산불,강원,2.5,20,53.4,95.0,18.6,3.4,0.0,1.0,1.0,2.0,0,0,1,277.2,0.7998197658109276
W, ,0.0,0.0,17.0,논밭두렁소각,경북,1.5,24,86.1,95.0,13.0,2.9,0.0,0.0,0.0,2.0,0,0,8,443.4,0.272131795910465
SW, ,0.0,0.0,16.0,용접작업실화,충북,2.0,8,83.3,95.0,10.6,2.0,0.0,1.0,1.0,10.0,0,9,183,436.5,1.164907607107033
SSW, ,0.0,0.0,10.0,어린이불장난,충남,2.5,8,87.1,95.0,14.3,2.2,0.0,0.0,1.0,4.0,0,2,7,369.2,0.756785933216994
NNW, ,0.0,0.0,19.0,입산자실화,대전,1.5,8,84.1,95.0,9.3,4.1,0.0,0.0,2.0,9.0,20,125,183,336.8,1.0715045386085815
ESE, ,0.0,0.0,45.0,입산자실화추정,부산,3.5,8,69.5,75.0,15.6,3.1,0.0,2.0,6.0,14.0,36,137,200,133.4,-0.07435891617912083
NNW, ,0.0,0.0,19.0,입산자실화,인천,1.0,21,82.3,95.0,12.6,2.1,0.0,2.0,8.0,34.0,109,279,667,186.2,1.117123669245082
NW, ,0.0,0.0,15.0,성묘객실화,전북,5.0,8,79.1,95.0,16.2,3.1,0.0,0.0,2.0,8.0,0,4,103,238.4,0.12001160310884351
SSW, ,0.0,0.0,21.0,쓰레기소각,경북,1.5,24,86.1,95.0,11.5,4.2,0.0,0.0,0.0,2.0,0,0,2,1176.7,-1.3791291744034506
NNE, ,0.0,0.0,19.0,논밭두렁소각,전북,8.5,8,79.9,88.0,11.8,1.8,0.0,0.0,0.0,3.0,0,1,12,488.2,-1.618270225094176
N, ,0.0,0.0,12.0,입산자실화,전북,3.5,8,75.1,88.0,12.1,2.5,0.0,0.0,0.0,4.0,0,0,29,361.5,1.3472800842361534
E, ,0.0,0.0,17.0,입산자실화,대전,1.5,8,84.1,95.0,10.5,2.0,0.0,1.0,5.0,10.0,80,149,183,163.3,-1.4463995709442066
S, ,0.0,0.0,61.0,대나무소각,광주,6.5,8,80.2,88.0,10.8,1.2,0.0,0.0,1.0,12.0,1,18,118,232.7,0.4456610990669579
E, ,0.0,0.0,29.0,입산자실화,경북,7.0,10,79.6,95.0,13.2,3.5,0.0,1.0,1.0,5.0,2,2,28,216.6,1.678175366786034
W, ,0.0,0.0,25.0,입산자실화,대구,8.5,10,83.4,95.0,13.5,4.0,0.0,3.0,6.0,11.0,12,30,47,299.7,-1.5402699608402162
WSW, ,0.0,0.0,55.0,입산자실화,충북,2.0,9,73.6,95.0,10.3,6.0,0.0,1.0,1.0,5.0,0,0,12,262.8,-1.5316364836308227
SSE, ,0.0,0.0,32.0,건물화재비화,서울,4.5,9,79.1,95.0,14.9,5.8,0.0,1.0,6.0,38.0,24,61,376,121.3,-0.2819832682255887
W, ,0.0,0.0,36.0,담뱃불실화추정,경남,3.0,7,65.7,80.0,13.3,5.5,0.0,1.0,1.0,6.0,2,6,155,178.5,-1.5438126834265242
SW, ,0.0,0.0,40.0,입산자실화,서울,4.2,9,80.1,95.0,19.9,5.5,0.0,1.0,7.0,42.0,1,78,523,510.3,1.1135938936569085
W, ,0.0,0.0,18.0,입산자실화,경북,12.0,9,85.0,95.0,16.3,5.3,0.0,0.0,0.0,2.0,1,3,17,283.6,1.3574226596017354
S, ,0.0,0.0,16.0,논밭두렁소각,충북,2.0,7,83.3,95.0,18.0,2.8,0.0,0.0,1.0,11.0,0,2,188,282.8,0.893162050705983
W, ,0.0,0.0,21.0,쓰레기소각,경남,6.0,7,65.1,75.0,18.6,3.4,0.0,0.0,0.0,4.0,0,7,54,204.6,0.18237870503791587
SW, ,0.0,0.0,19.0,입산자실화,경북,0.5,7,84.2,95.0,16.6,4.0,0.0,1.0,1.0,5.0,7,11,24,164.6,1.453097151923581
W, ,0.0,0.0,21.0,입산자실화,전남,8.0,7,82.8,95.0,19.7,4.4,0.0,0.0,0.0,3.0,1,1,30,551.1,1.5562552797119462
W, ,0.0,0.0,27.0,농산부산물소각,충북,2.0,7,82.5,95.0,16.8,4.4,0.0,0.0,0.0,6.0,0,0,139,501.9,0.7173333655005885
SW, ,0.0,0.0,22.0,성묘객실화,경기,3.5,9,84.0,95.0,16.3,5.6,0.0,0.0,1.0,3.0,0,0,2,218.7,1.325338745115605
SW, ,0.0,0.0,23.0,논밭두렁소각,충남,2.5,7,78.5,88.0,16.3,5.1,0.0,1.0,1.0,4.0,0,0,16,26.4,0.34040786266844614
WSW, ,0.0,0.0,23.0,논밭두렁소각,충남,3.0,7,83.3,95.0,17.1,4.7,0.0,0.0,1.0,9.0,0,0,169,167.2,-0.6500634565940127
W, ,0.0,0.0,25.0,입산자실화,경북,7.5,9,84.8,95.0,15.3,4.9,0.0,0.0,0.0,1.0,0,0,1,417.9,-0.9888800714503403
SW, ,0.0,0.0,40.0,입산자실화,충남,2.5,7,80.5,95.0,12.8,6.4,0.0,0.0,1.0,5.0,0,0,87,308.9,-1.2561940228078834
SSW, ,0.0,0.0,41.0,담뱃불실화추정,충남,3.0,7,80.5,95.0,12.6,6.3,0.0,1.0,1.0,11.0,0,7,184,287.2,1.483399319135698
SSW, ,0.0,0.0,56.0,담뱃불실화추정,서울,4.5,9,40.7,55.0,11.7,6.0,0.0,4.0,15.0,49.0,26,201,817,159.8,-1.5375847595643948
SW, ,0.0,0.0,27.0,입산자실화,경기,5.5,9,42.9,77.0,13.3,0.9,0.0,0.0,0.0,4.0,0,0,4,441.7,0.3549140885943757
SSW, ,0.0,0.0,31.0,쓰레기소각,전남,5.0,7,80.2,88.0,13.9,4.8,0.0,0.0,1.0,4.0,0,30,44,207.1,1.157909356953887
NE, ,0.0,0.0,22.0,용접작업실화,전북,5.0,7,71.7,95.0,14.5,1.0,0.0,0.0,0.0,4.0,0,0,9,587.9,0.8609687177063489
E, ,0.0,0.0,24.0,논밭두렁소각,전남,8.0,7,80.7,95.0,13.8,1.1,0.0,0.0,0.0,3.0,0,2,23,443.9,-1.0449308014219225
NE, ,0.0,0.0,22.0,농산부산물소각,경남,3.0,7,68.8,88.0,14.5,1.0,0.0,0.0,1.0,6.0,0,4,36,384.9,-1.435748927742771
SW, ,0.0,0.0,27.0,입산자실화,전남,8.0,7,80.7,95.0,13.3,0.9,0.0,0.0,0.0,4.0,1,1,6,400.4,0.31267141826473727
SW, ,0.0,0.0,43.0,쓰레기소각추정,전북,5.0,7,71.7,95.0,10.3,5.1,0.0,0.0,0.0,6.0,1,2,32,328.2,0.368940616759441
SSE, ,0.0,0.0,26.0,담뱃불실화추정,전남,8.0,7,78.7,95.0,13.1,1.8,0.0,0.0,2.0,5.0,1,9,66,116.8,0.1619886153093213
S, ,0.0,0.0,41.0,입산자실화,충남,2.0,9,83.0,95.0,5.3,4.2,0.0,0.0,2.0,7.0,0,10,43,257.3,0.022212169605400234
WSW, ,0.0,0.0,21.0,방화추정,인천,3.0,9,82.3,95.0,13.0,5.4,0.0,2.0,8.0,34.0,121,283,663,186.2,0.5342205998064951
NNW, ,0.0,0.0,16.0,입산자실화,대전,1.5,6,84.8,95.0,13.3,2.3,0.0,0.0,3.0,11.0,16,94,184,201.5,1.0516015144036965
W, ,0.0,0.0,37.0,담뱃불실화,인천,3.0,8,82.3,95.0,8.3,5.1,0.0,2.0,8.0,36.0,81,270,681,201.8,-1.4933733542013554
ENE, ,0.0,0.0,19.0,성묘객실화,전남,10.5,6,79.6,88.0,14.1,2.3,0.0,0.0,0.0,7.0,0,0,100,281.3,-1.3843896075733662
WSW, ,0.0,0.0,48.0,논밭두렁소각,경북,6.5,8,74.5,95.0,9.8,1.8,0.0,0.0,1.0,1.0,0,0,3,313.3,-0.6344482659001587
NW, ,0.0,0.0,33.0,입산자실화,서울,4.5,7,81.5,95.0,5.4,4.2,0.0,5.0,14.0,46.0,139,240,686,270.9,-1.5034434747744885
W, ,0.0,0.0,23.0,담뱃불실화추정,서울,4.5,7,82.2,95.0,8.6,4.4,0.0,3.0,11.0,49.0,10,116,825,159.8,-1.5203496105441021
NW, ,0.0,0.0,18.0,입산자실화,경남,4.5,7,65.4,95.0,13.8,6.5,0.0,0.0,0.0,4.0,0,3,57,603.8,1.0820487790187672
WNW, ,0.0,0.0,22.0,농산부산물소각,전남,8.0,5,83.5,95.0,11.8,2.7,0.0,0.0,1.0,6.0,4,13,58,162.8,1.5115287177766046
N, ,0.0,0.0,28.0,쓰레기소각,충남,2.0,7,80.2,88.0,16.1,3.7,0.0,0.0,1.0,4.0,2,2,40,252.3,0.9056346100183916
WNW, ,0.0,0.0,19.0,농산부산물소각,전남,10.5,5,80.0,95.0,12.6,4.1,0.0,0.0,0.0,6.0,0,0,93,203.6,1.341042520958306
NW, ,0.0,0.0,18.0,입산자실화,충남,3.0,5,78.9,95.0,13.3,11.0,0.0,0.0,1.0,10.0,0,0,185,442.3,1.134500488051324
NW, ,0.0,0.0,21.0,입산자실화,경기,6.0,7,85.6,95.0,10.6,3.9,0.0,0.0,1.0,4.0,0,0,3,344.8,0.253157053915146
NNW, ,0.0,0.0,27.0,농산부산물소각,전남,8.0,5,76.4,88.0,13.6,4.9,0.0,0.0,0.0,3.0,0,4,40,866.9,-0.4978252159819426
NNW, ,0.0,0.0,35.0,논밭두렁소각,전북,3.5,5,72.6,88.0,15.0,5.0,0.0,0.0,0.0,4.0,0,0,33,459.6,1.2172618774115893
NNW, ,0.0,0.0,28.0,성묘객실화,경남,2.0,5,65.8,82.0,8.1,6.6,0.0,0.0,0.0,2.0,0,1,21,1038.2,1.3939858071617006
NW, ,0.0,0.0,27.0,정신이상자실화,전남,8.0,5,79.9,88.0,13.3,4.9,0.0,0.0,0.0,3.0,0,0,11,253.8,0.8588281811889596
NW, ,0.0,0.0,26.0,쓰레기소각,광주,6.5,5,82.5,95.0,11.0,3.5,0.0,1.0,4.0,10.0,18,96,114,98.6,1.0000064404806777
W, ,0.0,0.0,52.0,입산자실화,전남,15.5,5,67.6,82.0,9.3,2.7,0.0,0.0,1.0,4.0,1,5,55,308.3,-1.4039933525370065
W, ,0.0,0.0,73.0,입산자실화,경기,3.0,6,74.6,88.0,5.2,5.1,0.0,0.0,1.0,7.0,0,0,29,174.5,0.6550668493704083
WNW, ,0.0,0.0,69.0,정신이상자실화,서울,4.5,6,79.1,95.0,10.0,3.0,0.0,3.0,7.0,40.0,32,97,421,121.3,-1.5036821443692692
NW, ,0.0,0.0,20.0,논밭두렁소각,충남,2.5,6,83.9,95.0,18.6,3.0,0.0,0.0,0.0,5.0,0,0,7,268.1,1.0435571179602965
W, ,0.0,0.0,36.0,쓰레기소각,충남,2.0,6,85.7,95.0,14.3,7.5,0.0,1.0,1.0,5.0,0,1,37,234.4,0.6763046548611578
ESE, ,0.0,0.0,23.0,쓰레기소각,전북,6.5,4,77.2,88.0,16.3,1.4,0.0,0.0,0.0,3.0,0,0,8,1162.9,-0.9505716421173824
E, ,0.0,0.0,44.0,논밭두렁소각,경북,7.0,6,72.1,88.0,14.5,0.7,0.0,0.0,0.0,3.0,0,0,9,348.7,1.6682977482396375
SSW, ,0.0,0.0,33.0,입산자실화,인천,3.0,6,81.8,95.0,15.1,2.8,0.0,0.0,2.0,28.0,12,33,537,105.9,-1.4831118706555952
SE, ,0.0,0.0,16.0,논밭두렁소각,경북,3.5,5,81.7,95.0,15.8,2.0,0.0,0.0,0.0,3.0,0,0,13,240.2,-0.658785949250372
S, ,0.0,0.0,24.0,담뱃불실화추정,부산,3.5,3,72.2,82.0,18.0,2.3,0.0,3.0,5.0,13.0,11,60,194,147.7,-1.049650877662958
NNW, ,0.0,0.0,29.0,농산부산물소각,경기,4.5,5,81.8,95.0,11.3,3.7,0.0,1.0,3.0,44.0,5,67,808,150.9,-1.489398265315878
E, ,0.0,0.0,25.0,논밭두렁소각,경남,6.0,3,61.2,75.0,13.7,1.6,0.0,1.0,1.0,3.0,22,28,61,178.7,-1.0210960605111878
SW, ,0.0,0.0,55.0,입산자실화,경북,10.5,4,67.5,82.0,8.2,6.1,0.0,0.0,0.0,0.0,0,2,2,452.5,-1.4189721084203326
S, ,0.0,0.0,32.0,논밭두렁소각,경남,6.0,2,58.6,68.0,12.6,3.3,0.0,1.0,1.0,4.0,4,9,47,136.0,-1.451627194227765
SE, ,0.0,0.0,17.0,용접작업실화,경남,3.0,2,65.4,75.0,14.6,3.0,0.0,1.0,2.0,18.0,9,16,331,326.9,-1.0460541230757276
SE, ,0.0,0.0,27.0,논밭두렁소각,대전,1.5,2,77.4,88.0,6.6,1.2,0.0,2.0,5.0,13.0,45,169,188,137.4,-1.2588293049619603
NNE, ,0.0,0.0,21.0,입산자실화,대전,1.5,1,72.0,82.0,6.5,3.6,0.0,2.0,5.0,11.0,79,177,184,144.0,-1.5693434367596943
NW, ,0.0,0.0,19.0,담뱃불실화,인천,3.0,3,71.5,88.0,7.9,3.1,0.0,2.0,5.0,30.0,77,225,520,217.1,-1.3000388253617317
WNW, ,0.0,0.0,34.0,쓰레기소각,서울,4.5,3,59.6,75.0,2.5,2.2,0.0,2.0,7.0,39.0,30,96,424,121.3,-1.5163776566557523
W, ,0.0,0.0,64.0,입산자실화,강원,3.5,2,58.8,82.0,10.3,3.4,0.0,1.0,1.0,1.0,0,0,0,120.2,0.12460106690602202
NNW, ,0.0,0.0,34.0,어린이불장난추정,서울,4.5,2,60.5,75.0,11.6,5.4,0.0,4.0,10.0,46.0,60,216,706,228.0,-1.5664307537115967
WNW, ,0.0,0.0,57.0,농산부산물소각,경남,13.5,1,35.1,44.0,12.6,1.9,0.0,1.0,2.0,5.0,3,9,136,232.6,-1.5497219386999908
ESE, ,0.0,0.0,39.0,담뱃불실화추정,인천,3.0,1,40.8,62.0,15.3,3.7,0.0,2.0,6.0,28.0,48,208,509,173.0,-0.7413803325085979
WSW, ,0.0,0.0,58.0,어린이불장난추정,서울,3.0,11,74.7,88.0,8.0,3.3,0.0,2.0,6.0,39.0,14,45,474,141.4,-1.5223383858261201
SW, ,0.0,0.0,30.0,농산부산물소각,전남,2.0,14,76.4,82.0,11.0,2.3,0.0,0.0,0.0,2.0,0,3,11,133.5,-0.8435601927474837
W, ,0.0,0.0,24.0,입산자실화,전남,1.0,14,80.7,88.0,12.3,3.4,0.0,0.0,0.0,3.0,0,1,29,425.0,1.7224647006846308
WNW, ,0.0,0.0,25.0,입산자실화,전남,2.0,18,88.9,95.0,5.9,4.6,0.0,1.0,1.0,5.0,6,21,56,347.9,0.561444032643266
W, ,0.0,0.0,26.0,입산자실화,전남,1.0,18,75.1,82.0,12.3,4.5,0.0,1.0,1.0,9.0,3,6,114,72.4,-0.9215302486451724
SW, ,0.0,0.0,35.0,입산자실화,전남,1.0,9,80.6,95.0,11.1,4.9,0.0,0.0,0.0,4.0,0,2,12,287.0,-1.680328625327801
SW, ,0.0,0.0,36.0,입산자실화,전남,1.0,13,74.4,88.0,10.8,7.2,0.0,0.0,0.0,2.0,1,1,24,724.3,1.2052232685095101
WNW, ,0.0,0.0,20.0,입산자실화,강원,1.9,14,69.5,88.0,14.5,3.3,0.0,0.0,0.0,2.0,0,0,0,927.7,1.29825203532848
SE, ,0.0,0.0,37.0,입산자실화,강원,1.5,13,70.0,95.0,-0.8,0.9,0.0,1.0,1.0,2.0,0,0,0,146.7,0.446267465249649
NNE, ,0.0,0.0,41.0,농산부산물소각,전남,1.0,18,48.5,55.0,8.2,4.9,0.0,1.0,1.0,5.0,1,3,29,361.8,-1.0868442682694972
WSW, ,0.0,0.0,30.0,입산자실화,경북,10.0,12,84.6,95.0,1.8,6.1,0.0,1.0,1.0,1.0,0,1,5,206.2,-0.7855191339444783
N, ,0.0,0.0,43.0,입산자실화,경북,1.5,11,69.3,82.0,-5.5,6.3,0.0,0.0,0.0,2.0,0,0,8,443.4,-0.8751645315564969
WNW, ,0.0,0.0,46.0,방화추정,인천,1.0,8,68.6,82.0,-6.4,4.2,0.0,3.0,4.0,35.0,49,181,666,395.4,-1.1123644046546093
WNW, ,0.0,0.0,39.0,입산자실화,서울,3.0,8,74.9,88.0,-5.9,4.0,0.0,5.0,13.0,49.0,106,226,793,104.5,-1.5375847595643948
WNW, ,0.0,0.0,16.0,어린이불장난,대구,1.5,11,85.6,95.0,1.2,7.4,0.0,0.0,2.0,10.0,0,9,44,427.1,1.4542423243300853
WNW, ,0.0,0.0,14.0,쓰레기소각,부산,1.5,11,65.2,75.0,4.8,7.0,0.0,0.0,1.0,13.0,0,15,191,81.8,-1.5141685062032104
N, ,0.0,0.0,15.0,입산자실화,대구,1.5,11,83.4,95.0,4.0,5.0,0.0,1.0,4.0,12.0,1,12,51,195.8,-1.592964140965585
W, ,0.0,0.0,37.0,입산자실화,전남,1.0,6,65.9,75.0,2.7,6.4,0.0,0.0,0.0,3.0,0,1,9,338.8,-0.7721518987341773
WSW, ,0.0,0.0,16.0,입산자실화,강원,3.0,6,60.9,82.0,4.5,3.9,0.0,1.0,1.0,1.0,0,0,0,92.4,1.2045751237345428
N, ,0.0,0.0,16.0,농산부산물소각,경남,1.0,15,61.0,75.0,4.7,6.4,0.0,1.0,1.0,17.0,3,17,292,630.8,1.324357867172925
WSW, ,0.0,0.0,30.0,무속인실화,경남,1.0,15,60.2,68.0,1.3,9.5,0.0,0.0,1.0,5.0,1,2,124,175.3,-0.3710199478234145
N, ,0.0,0.0,37.0,입산자실화,전남,4.5,28,61.9,68.0,1.3,4.3,0.0,0.0,1.0,6.0,0,1,35,484.3,0.17856865177269654
WSW, ,0.0,0.0,52.0,어린이불장난,경남,1.0,10,43.6,55.0,11.7,2.5,0.0,0.0,2.0,8.0,42,105,181,182.5,-1.257083236887158
NW, ,0.0,0.0,53.0,입산자실화,대구,1.5,10,68.0,82.0,12.4,5.5,0.0,2.0,5.0,11.0,18,27,47,134.5,-1.5223383858261201
WSW, ,0.0,0.0,57.0,방화추정,부산,1.5,10,50.2,62.0,15.1,6.6,0.0,2.0,6.0,15.0,83,136,203,169.1,-0.026174839591076582
WSW, ,0.0,0.0,38.0,밭두렁소각,충남,9.5,27,43.9,71.0,15.6,4.4,0.0,0.0,1.0,9.0,0,1,40,172.5,-1.489968184996096
SSW, ,0.0,0.0,27.0,입산자실화,대전,4.5,26,51.2,65.0,17.7,4.8,0.0,0.0,4.0,9.0,48,144,183,336.8,-0.12299565552704916
WSW, ,0.0,0.0,30.0,입산자실화,전남,1.0,13,45.7,65.0,15.8,2.2,0.0,0.0,0.0,5.0,0,3,51,68.4,1.3157680961068774
SW, ,0.0,0.0,60.0,농산부산물소각,경북,4.0,14,41.8,58.0,15.1,5.1,0.0,0.0,0.0,2.0,0,0,3,822.0,1.1972143896468084
W, ,0.0,0.0,28.0,입산자실화,경북,2.0,9,50.3,77.0,19.7,2.2,0.0,1.0,1.0,4.0,2,2,24,275.6,0.044847690496127024
SSW, ,0.0,0.0,30.0,논밭두렁소각,전남,1.0,7,50.7,70.0,19.4,2.9,0.0,0.0,0.0,8.0,0,0,112,690.0,-1.680328625327801
S, ,0.0,0.0,38.0,밭두렁소각,대전,1.0,8,57.6,71.0,15.8,1.5,0.0,0.0,1.0,12.0,1,35,188,248.4,-1.4848374315836037
WNW, ,0.0,0.0,8.0,입산자실화,대구,1.5,7,62.3,77.0,18.3,3.3,0.0,1.0,1.0,11.0,0,7,50,84.6,-1.5088273219738633
WNW, ,0.0,0.0,8.0,입산자실화,대구,1.5,7,62.3,77.0,18.3,3.3,0.0,0.0,1.0,11.0,0,5,51,1035.4,-1.494107741954032
NNE, ,0.0,0.0,26.0,논밭두렁소각,전남,1.0,2,57.7,65.0,17.7,1.0,0.0,0.0,0.0,3.0,0,1,9,338.8,-0.38914316377755986
SE, ,0.0,0.0,38.0,입산자실화,울산,4.0,7,56.4,65.0,15.2,3.1,0.0,1.0,2.0,6.0,8,31,61,142.7,0.7184394685573625
WSW, ,0.0,0.0,54.0,농산부산물소각,전남,1.0,2,52.0,65.0,10.8,0.6,0.0,0.0,1.0,4.0,0,14,45,204.0,0.4660255653425286
WSW, ,0.0,0.0,16.0,어린이불장난,서울,3.0,3,61.8,77.0,10.1,3.9,0.0,4.0,11.0,41.0,50,189,470,115.5,-1.4796971061619844
WSW, ,0.0,0.0,22.0,군사훈련실화,경기,3.0,3,52.4,65.0,10.3,4.4,0.0,1.0,1.0,11.0,0,1,94,293.9,1.1690964209135393
SSW, ,0.0,0.0,42.0,입산자실화,대구,1.5,4,74.7,90.0,17.2,2.1,0.0,0.0,1.0,11.0,5,5,48,1083.4,1.466526171232245
SW, ,0.0,0.0,26.0,입산자실화추정,강원,3.5,29,50.9,77.0,14.1,8.5,0.0,1.0,1.0,1.0,0,0,0,116.9,-0.6752683891545979
WSW, ,0.0,0.0,48.0,논밭두렁소각,경북,2.0,4,67.0,77.0,14.0,2.5,0.0,0.0,0.0,8.0,0,0,27,418.8,1.111762277787709
SSW, ,0.0,0.0,47.0,방화추정,부산,1.5,3,62.4,71.0,6.7,4.5,0.0,2.0,7.0,15.0,90,144,204,404.6,-1.4537904263081995
W, ,0.0,0.0,18.0,입산자실화,경기,3.5,13,72.7,85.0,4.9,2.3,0.0,1.0,1.0,8.0,0,0,26,285.1,1.063814014144293
WSW, ,0.0,0.0,38.0,입산자실화,강원,3.5,20,40.2,55.0,-0.4,2.4,0.0,1.0,1.0,1.0,0,0,0,104.4,0.007543160031998508
WNW, ,0.0,0.0,33.0,어린이불장난추정,충북,5.0,11,38.0,73.0,4.5,3.7,0.0,0.0,1.0,11.0,0,1,186,282.8,-1.4853179327312536
N, ,0.0,0.0,15.0,담뱃불실화추정,부산,2.0,1,34.6,42.0,8.1,7.9,0.0,2.0,5.0,15.0,79,124,202,326.1,0.9672627367591667
NE, ,0.0,0.0,50.0,논밭두렁소각,경남,3.5,10,53.7,67.0,8.8,0.9,0.0,0.0,0.0,4.0,1,1,26,201.0,-1.4036475826362658
ENE, ,0.0,0.0,33.0,담뱃불실화추정,서울,5.5,11,73.1,85.0,7.1,2.4,0.0,5.0,11.0,39.0,26,147,497,295.7,-1.5075915388095509
SSE, ,0.0,0.0,60.0,방화추정,대구,4.5,9,74.6,85.0,4.9,3.7,0.0,1.0,4.0,12.0,1,12,51,195.8,-1.5693747805421454
N, ,0.0,0.0,13.0,입산자실화,강원,4.0,10,56.5,85.0,9.6,1.9,0.0,1.0,1.0,2.0,0,0,1,277.2,-1.103278090366869
NNW, ,0.0,0.0,14.0,휴반소각,충북,4.5,9,42.5,55.0,11.7,2.4,0.0,0.0,0.0,4.0,0,0,4,771.3,-1.5027756376663428
E, ,0.0,0.0,22.0,농산부산물소각,전남,1.0,9,79.5,85.0,10.3,2.6,0.0,0.0,1.0,4.0,1,12,54,310.4,1.342821507068039
NW, ,0.0,0.0,27.0,농산부산물소각,충남,2.0,9,37.9,73.0,9.8,1.4,0.0,0.0,0.0,6.0,0,0,31,97.0,-1.5134481899462506
WNW, ,0.0,0.0,25.0,담뱃불실화추정,충북,2.0,9,43.6,79.0,11.3,1.2,0.0,0.0,0.0,2.0,0,0,4,876.3,-1.544592309852889
SE, ,0.0,0.0,22.0,논밭두렁소각,광주,4.5,9,77.0,85.0,12.1,3.3,0.0,0.0,2.0,10.0,2,75,113,415.4,-1.5134481899462506
