diravg,dirmax,humidcurr,humidmin,humidrel,ocurcause,ocurdo,rainamount,raindays,riskavg,riskmax,tempavg,windavg,windmax,within_5km,within_10km,within_30km,within_5km_fact,within_10km_fact,within_30km_fact,height,scale_damage
SSW,SW,0.0,0.0,85.0,산나물채취자 실화,경남,19.5,4,0.0,0.0,26.4,2.8,6.0,0.0,0.0,4.0,0,1,23,592.1,0.6972046838646633
W,SSW,0.0,0.0,52.0,입산자실화,충북,5.5,3,0.0,0.0,22.0,5.4,10.2,0.0,0.0,5.0,0,0,5,275.4,0.7812471491953838
WNW,NNW,0.0,0.0,33.0,산나물채취자 실화,전남,0.7,1,0.0,0.0,23.4,4.7,8.9,0.0,0.0,2.0,0,1,8,295.7,-1.5242657576182443
WSW,SSE,0.0,0.0,23.0,입산자실화 추정,강원,16.0,2,0.0,0.0,24.2,1.2,7.0,0.0,0.0,4.0,0,0,0,679.1,-1.4766865948241092
W,SSW,0.0,0.0,44.0,양봉사화재비화,강원,3.5,1,0.0,0.0,26.6,8.4,16.3,1.0,1.0,2.0,0,0,0,297.0,0.8148725722235133
SSW,S,0.0,0.0,23.0,입산자실화 추정,경남,0.5,3,0.0,0.0,19.6,6.3,7.7,1.0,1.0,4.0,3,6,20,573.2,0.7717030473750202
ENE,NE,0.0,0.0,18.0,입산자실화 추정,강원,11.0,3,0.0,0.0,20.5,3.7,4.7,0.0,0.0,3.0,0,0,0,1609.6,-1.2820258954177355
SE,NNW,0.0,0.0,16.0,산나물채취자 실화 추정,전북,2.5,3,0.0,0.0,24.0,4.6,10.5,0.0,0.0,2.0,0,0,2,490.3,0.3584935694144705
E,SE,0.0,0.0,23.0,입산자실화 추정,경북,0.5,3,0.0,0.0,22.9,4.7,9.6,0.0,0.0,5.0,0,0,22,637.4,-0.47586408627811216
SSE,SSE,0.0,0.0,16.0,쓰레기소각,전남,2.5,3,0.0,0.0,18.6,3.7,8.2,0.0,0.0,2.0,0,0,39,232.0,0.9260951695944915
SSW,NW,0.0,0.0,28.0,입산자실화,경기,15.0,3,0.0,0.0,15.1,0.8,4.2,0.0,0.0,2.0,0,0,1,876.1,0.9104965450609014
SSE,E,0.0,0.0,46.0,입산자실화 추정,강원,6.0,2,0.0,0.0,27.2,4.0,7.3,0.0,0.0,4.0,0,0,1,693.0,0.872343801138456
SSE,ESE,0.0,0.0,26.0,등산객실화 추정,경남,1.0,10,0.0,0.0,21.9,3.4,7.8,1.0,1.0,9.0,31,72,200,566.3,-1.2584402539922266
SSE,ESE,0.0,0.0,20.0,논밭두렁소각,경남,1.0,10,0.0,0.0,21.9,3.4,7.8,1.0,2.0,6.0,53,97,175,101.5,-0.92260873820538
ENE,NNE,0.0,0.0,41.0,입산자실화,강원,7.5,1,0.0,0.0,15.1,4.5,5.6,1.0,2.0,2.0,0,0,0,34.6,0.5695523242284228
ENE,WNW,0.0,0.0,21.0,낙뢰추정,인천,1.5,1,0.0,0.0,21.0,2.9,5.7,0.0,0.0,1.0,0,0,5,193.0,-1.2404049091641791
WNW,WSW,0.0,0.0,16.0,쓰레기소각,전남,6.3,4,0.0,0.0,18.3,3.9,8.1,0.0,0.0,2.0,1,1,8,658.2,-1.5865119469830136
WSW,W,0.0,0.0,31.0,원인미상,경남,2.5,3,0.0,0.0,22.7,3.6,8.7,0.0,0.0,4.0,0,2,19,1192.5,0.5874330914568511
SSW,SSE,0.0,0.0,30.0,낚시꾼실화,전남,2.0,3,0.0,0.0,21.7,3.9,5.2,0.0,0.0,6.0,0,0,96,442.5,0.8125177025015273
S,SSE,0.0,0.0,24.0,입산자실화 추정,인천,1.8,4,0.0,0.0,11.4,2.7,0.5,3.0,5.0,39.0,74,184,707,122.9,0.7827617289011654
WSW,SSW,0.0,0.0,49.0,쓰레기소각,강원,0.5,2,0.0,0.0,17.6,3.7,5.8,0.0,0.0,4.0,0,0,1,502.9,0.6000958177541098
NNE,NE,0.0,0.0,16.0,농산부산물소각,전남,1.5,7,0.0,0.0,14.7,1.4,4.5,0.0,0.0,2.0,1,1,3,59.2,0.18859854440297585
SSW,NW,0.0,0.0,15.0,입산자실화 추정,강원,0.5,3,0.0,0.0,11.1,2.9,9.7,1.0,1.0,3.0,0,0,0,596.2,-0.6559039870441923
W,WSW,0.0,0.0,33.0,입산자실화 추정,강원,2.5,5,0.0,0.0,16.3,4.8,7.3,0.0,0.0,4.0,0,0,1,387.2,0.5246768250717697
NNE,NW,0.0,0.0,26.0,산나물채취자 실화,전남,3.0,4,0.0,0.0,20.2,5.3,11.8,0.0,0.0,6.0,0,0,93,336.6,0.9461910859728839
NW,W,0.0,0.0,33.0,조사중,경북,8.5,4,0.0,0.0,16.4,5.9,9.5,0.0,0.0,1.0,0,0,3,1136.5,0.561444032643266
NE,ESE,0.0,0.0,30.0,입산자실화 추정,강원,1.5,9,0.0,0.0,17.2,0.5,5.0,0.0,1.0,2.0,0,0,0,91.2,-1.5145384270407982
W,SW,0.0,0.0,28.0,산나물채취자 실화,충북,2.5,9,0.0,0.0,23.3,2.4,5.0,1.0,1.0,4.0,0,0,2,221.2,-1.6089534033556663
WSW,SW,0.0,0.0,38.0,담뱃불실화,충남,5.5,9,0.0,0.0,25.0,2.7,5.8,0.0,0.0,10.0,0,0,41,455.8,-0.9799786636886127
SSE,SSW,0.0,0.0,20.0,입산자실화,강원,1.0,9,0.0,0.0,24.4,2.0,7.4,0.0,1.0,3.0,0,0,0,508.0,0.45377595496375256
S,SSE,0.0,0.0,20.0,원인미상,경북,0.9,8,0.0,0.0,17.4,2.5,5.3,0.0,1.0,9.0,0,0,32,312.0,1.115724617817056
WSW,W,0.0,0.0,40.0,입산자실화 추정,인천,1.8,9,0.0,0.0,21.2,2.8,6.6,3.0,7.0,33.0,71,239,652,226.0,0.699676412081324
NW,SW,0.0,0.0,36.0,입산자실화 추정,강원,5.5,9,0.0,0.0,23.7,2.1,5.8,0.0,0.0,2.0,0,0,0,602.5,0.45377595496375256
SSW,S,0.0,0.0,31.0,원인미상,강원,2.5,9,0.0,0.0,17.8,1.2,2.5,0.0,0.0,2.0,0,0,0,1146.2,-0.013810683872952367
SSE,ESE,0.0,0.0,38.0,야간구조 조명불발탄(세월호),전남,0.5,6,0.0,0.0,12.3,5.8,9.0,0.0,0.0,0.0,0,0,8,235.1,0.7637161299912077
S,E,0.0,0.0,44.0,담뱃불실화 추정,강원,1.2,8,0.0,0.0,21.9,1.4,2.5,0.0,0.0,2.0,0,0,0,992.7,-1.3926942648823686
WNW,N,0.0,0.0,23.0,산나물채취자 실화 추정,충북,10.5,8,0.0,0.0,25.5,2.5,4.0,0.0,2.0,6.0,1,5,17,348.4,0.49926350099579364
S,SW,0.0,0.0,62.0,입산자실화 추정,경북,0.5,7,0.0,0.0,24.0,3.0,5.9,0.0,0.0,0.0,0,1,3,608.4,0.9345904962418327
WNW,ENE,0.0,0.0,26.0,담뱃불실화,전남,0.5,7,0.0,0.0,26.6,2.0,4.1,0.0,0.0,4.0,0,0,41,489.4,-1.513428059329259
ESE,SE,0.0,0.0,44.0,입산자실화 추정,강원,1.5,8,0.0,0.0,24.7,3.8,5.3,0.0,1.0,2.0,0,0,0,91.2,-1.6394620020557622
NW,N,0.0,0.0,22.0,주택화재비화,충남,5.7,8,0.0,0.0,23.4,4.6,6.4,0.0,0.0,5.0,7,11,45,79.2,0.7314206879988928
WSW,S,0.0,0.0,23.0,등산객실화 추정,충북,10.5,8,0.0,0.0,24.8,1.6,4.3,0.0,0.0,2.0,0,0,4,876.3,0.4954445229611216
WSW,E,0.0,0.0,18.0,쓰레기소각,경기,5.5,8,0.0,0.0,25.0,1.7,4.7,0.0,1.0,4.0,0,0,6,237.9,-0.6958805759859075
ESE,SSE,0.0,0.0,55.0,농산폐기물소각,강원,0.5,7,0.0,0.0,23.8,2.8,5.7,1.0,1.0,2.0,0,0,0,146.7,0.4207006294224748
SSW,ESE,0.0,0.0,35.0,쓰레기소각,전남,1.5,7,0.0,0.0,20.0,1.0,4.2,0.0,1.0,4.0,0,17,40,358.9,-1.1489601860309504
W,SW,0.0,0.0,84.0,원인미상,강원,5.5,7,0.0,0.0,21.7,1.8,4.4,0.0,0.0,5.0,0,0,1,901.0,1.1096682304847212
WSW,W,0.0,0.0,17.0,입산자실화,강원,1.2,7,0.0,0.0,24.2,3.1,3.6,1.0,1.0,2.0,1,1,5,203.9,-1.3762908780812082
SSW,SSW,0.0,0.0,25.0,농산폐기물소각,전남,1.5,6,0.0,0.0,21.8,3.2,5.4,0.0,0.0,1.0,0,1,30,160.4,-1.5834605143081073
WSW,SE,0.0,0.0,62.0,입산자실화,강원,1.2,7,0.0,0.0,25.8,1.6,6.7,0.0,0.0,5.0,4,6,62,241.2,0.40051578882986394
S,SW,0.0,0.0,25.0,육묘장 전기누전,경북,0.5,6,0.0,0.0,25.3,4.5,6.1,1.0,1.0,3.0,0,0,9,299.3,1.2599025724278996
NW,SE,0.0,0.0,22.0,원인미상,강원,5.5,7,0.0,0.0,24.8,2.4,4.4,0.0,0.0,5.0,0,0,1,764.0,1.0715576862778204
WSW,WSW,0.0,0.0,21.0,입산자실화,강원,4.0,7,0.0,0.0,23.3,1.5,6.6,0.0,0.0,4.0,0,0,1,590.9,0.8580957547366808
NW,W,0.0,0.0,28.0,산나물채취자 실화 추정,강원,4.5,7,0.0,0.0,20.5,1.2,4.1,0.0,0.0,1.0,0,0,0,728.3,1.22160871341228
ENE,SE,0.0,0.0,17.0,원인미상,서울,3.0,7,0.0,0.0,16.4,1.9,3.2,0.0,0.0,11.0,0,1,114,251.3,-1.5594937582588515
ENE,N,0.0,0.0,22.0,입산자실화 추정,인천,0.5,7,0.0,0.0,8.7,0.7,0.0,0.0,1.0,12.0,6,15,327,101.1,0.6283274161950549
정온,NW,0.0,0.0,46.0,입산자실화 추정,대전,14.9,7,0.0,0.0,9.9,0.3,0.6,0.0,1.0,9.0,0,0,178,342.0,-1.4577199384687096
NNE,SSW,0.0,0.0,22.0,농산부산물소각,전남,2.0,5,0.0,0.0,24.6,2.6,4.9,1.0,1.0,9.0,2,4,113,190.5,-1.614140007534325
WSW,WSW,0.0,0.0,19.0,농산폐기물소각,경기,2.3,6,0.0,0.0,24.2,3.9,6.4,0.0,0.0,6.0,0,0,9,424.1,-1.3404319811267154
WSW,WSW,0.0,0.0,23.0,입산자실화 추정,경북,13.1,6,0.0,0.0,22.5,5.0,5.4,0.0,0.0,3.0,0,0,11,794.2,-1.5429383361770428
WSW,SW,0.0,0.0,27.0,등산객실화 추정,서울,3.0,6,0.0,0.0,24.5,3.7,6.0,0.0,0.0,4.0,1,2,8,933.5,-0.7177218133475636
WNW,NW,0.0,0.0,19.0,농산폐기물소각,전남,2.4,5,0.0,0.0,21.8,3.2,4.7,0.0,0.0,4.0,0,0,36,240.1,-1.147110077296322
SW,SSW,0.0,0.0,21.0,입산자실화 추정,충남,5.7,6,0.0,0.0,22.4,2.6,6.4,0.0,1.0,2.0,1,10,17,213.7,-1.618165045820678
SSW,SSW,0.0,0.0,24.0,입산자실화 추정,충남,13.5,6,0.0,0.0,19.1,3.3,5.0,0.0,1.0,2.0,0,2,14,93.5,-1.3887668356578473
WNW,N,0.0,0.0,24.0,농산폐기물소각,충북,10.5,6,0.0,0.0,23.9,3.1,4.4,0.0,0.0,5.0,0,0,15,483.8,-1.2646880346970089
N,NNE,0.0,0.0,21.0,산나물채취자 실화,전북,19.7,6,0.0,0.0,23.0,3.7,7.1,0.0,0.0,3.0,0,0,13,1220.0,0.45377595496375256
SW,SSE,0.0,0.0,28.0,도로공사현장 불꽃비산,울산,1.8,5,0.0,0.0,23.7,2.7,9.3,0.0,0.0,3.0,1,2,49,166.3,-1.5856559490968483
SSW,N,0.0,0.0,72.0,입산자실화,전남,1.0,5,0.0,0.0,23.5,2.2,6.6,0.0,0.0,3.0,0,2,11,164.9,0.4051608627488318
SSW,S,0.0,0.0,26.0,입산자실화,경기,5.5,6,0.0,0.0,20.6,1.6,4.8,0.0,0.0,6.0,1,2,14,178.2,0.6679445682409609
W,WSW,0.0,0.0,38.0,입산자실화 추정,인천,0.5,5,0.0,0.0,15.4,2.8,5.8,0.0,1.0,12.0,6,15,327,101.1,0.9632447442586907
NNW,SW,0.0,0.0,42.0,원인미상,경기,0.5,5,0.0,0.0,22.0,3.2,8.4,0.0,0.0,5.0,0,0,6,585.5,-1.5856559490968483
NW,WSW,0.0,0.0,39.0,산나물채취자 실화추정,전북,21.5,5,0.0,0.0,20.8,2.4,7.0,0.0,0.0,4.0,0,0,35,806.4,0.262726639383122
NNE,NNW,0.0,0.0,28.0,원인미상,경기,2.3,5,0.0,0.0,21.6,5.8,9.8,0.0,1.0,20.0,0,1,172,709.5,-1.138066618928866
NW,W,0.0,0.0,39.0,담뱃불실화 추정,충남,5.7,5,0.0,0.0,21.9,5.2,5.3,0.0,0.0,5.0,4,12,47,117.6,0.6966427414741987
N,SE,0.0,0.0,39.0,담뱃불실화 추정,강원,4.5,5,0.0,0.0,21.4,1.6,8.2,0.0,0.0,2.0,0,0,0,532.0,0.49375475780751665
W,WNW,0.0,0.0,57.0,원인미상,경기,5.5,5,0.0,0.0,21.5,2.3,8.9,0.0,0.0,3.0,0,0,5,849.0,0.8660992090604206
NW,NNW,0.0,0.0,23.0,밭두렁소각,전남,0.5,4,0.0,0.0,20.7,3.3,7.4,0.0,0.0,3.0,2,3,53,55.0,-1.453285932209347
SSE,SW,0.0,0.0,46.0,입산자실화 추정,강원,1.0,5,0.0,0.0,15.8,2.5,3.6,0.0,1.0,3.0,0,0,0,306.4,0.318663715866217
SE,E,0.0,0.0,36.0,입산자실화 추정,강원,3.0,16,0.0,0.0,16.8,2.0,6.4,0.0,0.0,1.0,0,0,0,383.4,-1.2711335148232419
WNW,WNW,0.0,0.0,36.0,산나물채취자 실화,전북,19.7,4,0.0,0.0,21.2,3.1,6.4,1.0,1.0,3.0,0,1,5,479.1,0.7179964798947831
WSW,WSW,0.0,0.0,25.0,입산자실화 추정,강원,5.5,4,0.0,0.0,21.0,4.0,7.0,0.0,1.0,4.0,0,0,1,520.5,0.3152908702543472
W,N,0.0,0.0,24.0,원인미상,경기,5.5,4,0.0,0.0,19.9,2.0,7.9,0.0,0.0,5.0,0,0,4,1252.3,0.9232425195740455
W,W,0.0,0.0,25.0,방화 추정,충남,21.5,3,0.0,0.0,14.0,1.0,2.6,0.0,1.0,9.0,0,0,182,599.5,-1.6656036323213153
WSW,W,0.0,0.0,25.0,입산자실화,경기,3.0,3,0.0,0.0,20.5,4.6,8.2,3.0,13.0,37.0,17,96,454,295.7,-1.5734124184048572
E,WNW,0.0,0.0,24.0,입산자실화,경기,2.3,3,0.0,0.0,20.3,4.6,6.7,0.0,0.0,16.0,0,0,106,813.6,-1.5856559490968483
NNW,WSW,0.0,0.0,28.0,입산자실화 추정,강원,4.5,3,0.0,0.0,20.2,1.6,6.1,0.0,0.0,1.0,0,0,0,672.4,-1.0156694435929303
SSE,ENE,0.0,0.0,26.0,원인미상,대전,14.9,3,0.0,0.0,16.7,2.0,4.5,0.0,1.0,9.0,0,0,178,342.0,-0.146987951807229
ESE,SSE,0.0,0.0,19.0,입산자실화 추정,충남,5.5,3,0.0,0.0,17.2,3.2,5.5,0.0,1.0,7.0,0,2,34,460.5,-1.6222142113076254
SE,SSW,0.0,0.0,17.0,입산자실화 추정,인천,0.5,1,0.0,0.0,19.1,2.5,6.9,1.0,1.0,5.0,3,5,64,338.9,-1.0361496413885645
NE,NE,0.0,0.0,27.0,입산자실화 추정,강원,2.1,12,0.0,0.0,18.8,3.4,6.9,0.0,0.0,3.0,0,0,4,420.2,0.11003653604550767
NW,WNW,0.0,0.0,55.0,원인미상,대구,0.5,4,0.0,0.0,15.6,1.0,4.1,0.0,4.0,12.0,1,26,51,194.2,-1.1030960594086359
N,N,0.0,0.0,28.0,입산자실화 추정,강원,2.1,11,0.0,0.0,13.2,0.8,1.7,1.0,4.0,31.0,11,46,402,124.0,-1.060352796127877
ESE,NNE,0.0,0.0,21.0,원인미상,경남,3.5,3,0.0,0.0,25.2,2.5,6.1,0.0,1.0,4.0,0,3,24,618.5,-1.6525462447112007
WSW,SSW,0.0,0.0,20.0,낚시꾼실화 추정,인천,0.8,12,0.0,0.0,11.6,2.2,2.4,0.0,0.0,8.0,2,3,247,56.5,0.9561994730183373
